code,name,race,icon,version,id_start,id_stop,max_cards,base_hp,hp_growth,Unnamed: 10,Unnamed: 11,Unnamed: 12,desc
AA,Amber Aegis,Harrower,Beetle,crimson-scales,003,032,11.0,,,,,,
BK,Brightspark,Human,Flask,crimson-scales,029,058,11.0,,,,,,
BM,Bombard,Quatryl,Target,crimson-scales,001,028,9.0,,,,,,
CG,Chainguard,Inox,Chainguard,crimson-scales,059,087,10.0,,,,,,
CT,Chieftain,Orchid,Tusks,crimson-scales,088,116,10.0,,,,,,
FK,Fire Knight,Valrath,Ladder Axe,crimson-scales,117,145,10.0,,,,,,
HO,Hollowpact,Savvas,Vortex,crimson-scales,184,212,10.0,,,,,,
HP,Hierophant,Human,Leaf,crimson-scales,146,183,11.0,,,,,,
LU,Luminary,Lurker,Cresent Sun,crimson-scales,213,242,11.0,,,,,,
MF,Mirefoot,Quatryl,Sprig,crimson-scales,243,271,10.0,,,,,,
RM,Ruinmaw,Vermling,Bleeding Claw,crimson-scales,003,032,11.0,8.0,1.5,,,,
SP,Spirit Caller,Vermling,Skull,crimson-scales,272,300,10.0,,,,,,
ST,Starslinger,Aesther,Galaxy,crimson-scales,301,329,10.0,,,,,,
QA,Artificer,Quatryl,Tools,crimson-scales,003,030,9.0,,,,,,
DR,Diviner,Aesther,,forgotten-circles,574,601,,,,,,,
BB,Blink Blade,Quatryl,,frosthaven,032,060,,,,,,,A complex character who uses a system of tokens to move different speeds and use crowd control and deal damage on some rounds while be less effective on others.
BN,Banner Spear,Human,,frosthaven,061,089,10.0,8.0,2.0,,,,A tanky damage dealer who works with allies in special formation area attacks that require allies in order to work.
BO,Boneshaper,Aesther,,frosthaven,120,150,12.0,5.0,1.0,,,,A summon-based character with non-loss summons that cost HP.
DF,Drifter,Inox,,frosthaven,001,031,,,,,,,A jack of all trades who manipulates persistent multi-use tracks on their loss cards to empower various abilities.
DW,Deathwalker,Valrath,,frosthaven,090,119,,,,,,,A damage dealer who uses placed shadow tokens resulting from enemy deaths to do strong damage and movement effects.
GE,Geminate,Harrower,,frosthaven,151,184,14.0,7.0,1.5,,,,"An area attacker with two forms, each with their own separate hands; one melee-focused and one ranged-focus, who swap between them by playing specific effects"
CR,,,,frosthaven,474,504,,,,,,,
DT,,,,frosthaven,445,473,,,,,,,
FF,,,,frosthaven,360,386,,,,,,,
HV,,,,frosthaven,387,416,,,,,,,
IF,,,,frosthaven,185,214,,,,,,,
ME,,,,frosthaven,417,444,,,,,,,
PC,,,,frosthaven,301,329,,,,,,,
PY,,,,frosthaven,215,243,,,,,,,
SD,,,,frosthaven,330,359,,,,,,,
SH,,,,frosthaven,244,272,,,,,,,
TA,,,,frosthaven,273,300,,,,,,,
BE,Berserker,Inox,Lightning Bolt,gloomhaven,319,347,10.0,8.0,2.0,,,,
